Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
ATS,7V1664-701,C029,B15,CF6,1QS523,345,430,495,90,165,360,420,315,330,300,285,345,375,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1854-701,C029,B15,CF6,1QS632,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
ATS,7V2497-701,C029,B15,C10,3QS615,1140,1425,1470,240,1500,1890,2010,1950,2250,1890,1500,1830,2250,1998,1665,1332,1665,1665,1665,1665,1665,999,1665,1665
ATS,7V2490-701,C029,B15,C10,3QS616,3120,3900,4440,720,3720,4530,5640,4680,5610,4590,3630,4590,5370,5562,4635,3708,4635,4635,4635,4635,4635,2781,4635,4635
ATS,7V2494-701,C029,B15,C10,3QS617,570,715,870,150,300,600,720,540,570,510,510,570,660,756,630,504,630,630,630,630,630,378,630,630
ATS,7V2517-701,C029,B15,C10,3QS618,120,150,120,0,60,60,60,0,60,60,0,60,60,72,60,48,60,60,60,60,60,36,60,60
ATS,7V2510-701,C029,B15,C10,3QS619,0,0,60,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2514-701,C029,B15,C10,3QS620,0,0,60,0,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2507-701,C029,B15,C10,3QS621,60,75,90,30,90,60,30,30,60,30,30,60,30,18,15,12,15,15,15,15,15,9,15,15
ATS,7V2500-701,C029,B15,C10,3QS622,450,565,840,120,630,330,420,330,420,330,270,330,420,432,360,288,360,360,360,360,360,216,360,360
ATS,7V2504-701,C029,B15,C10,3QS623,0,0,30,0,30,0,0,0,0,30,0,0,30,18,15,12,15,15,15,15,15,9,15,15
ATS,7M5297-701,C029,B15,C10,3QS544,320,400,448,64,416,416,512,416,512,416,320,448,576,557,464,371,464,464,464,464,464,278,464,464
ATS,7M5290-701,C029,B15,C10,3QS546,704,880,1056,160,864,736,960,704,896,736,640,768,960,864,720,576,720,720,720,720,720,432,720,720
ATS,7M5294-701,C029,B15,C10,3QS543,96,120,192,32,96,96,128,96,128,96,64,96,128,154,128,102,128,128,128,128,128,77,128,128
ATS,7M5317-701,C029,B15,C10,3QS553,64,80,128,64,64,64,64,64,64,0,64,0,64,77,64,51,64,64,64,64,64,38,64,64
ATS,7M5310-701,C029,B15,C10,3QS555,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7M5314-701,C029,B15,C10,3QS552,0,0,64,0,0,64,0,0,0,64,0,0,0,77,64,51,64,64,64,64,64,38,64,64
ATS,7M5307-701,C029,B15,C10,3QS562,64,80,96,0,128,64,32,32,64,32,32,32,64,19,16,13,16,16,16,16,16,10,16,16
ATS,7M5300-701,C029,B15,C10,3QS564,448,560,832,128,640,320,448,352,416,320,288,320,384,422,352,282,352,352,352,352,352,211,352,352
ATS,7M5304-701,C029,B15,C10,3QS561,0,0,32,0,32,0,32,32,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1497-701,C029,B15,C10,3QS606,330,415,420,60,450,420,480,420,510,420,330,450,570,558,465,372,465,465,465,465,465,279,465,465
ATS,7V1490-701,C029,B15,C10,3QS607,720,900,1050,180,840,750,960,720,870,750,630,780,930,864,720,576,720,720,720,720,720,432,720,720
ATS,7V1494-701,C029,B15,C10,3QS608,120,150,180,30,90,90,120,90,120,90,60,120,120,144,120,96,120,120,120,120,120,72,120,120
ATS,7V1517-701,C029,B15,C10,3QS609,60,75,120,30,60,60,60,60,30,30,60,30,60,54,45,36,45,45,45,45,45,27,45,45
ATS,7V1510-701,C029,B15,C10,3QS610,30,40,30,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1514-701,C029,B15,C10,3QS611,30,40,30,0,30,30,30,30,30,0,0,30,0,18,15,12,15,15,15,15,15,9,15,15
ATS,7V1507-701,C029,B15,C10,3QS612,60,75,90,30,90,60,30,30,60,30,30,60,30,18,15,12,15,15,15,15,15,9,15,15
ATS,7V1500-701,C029,B15,C10,3QS613,450,565,840,120,630,330,420,330,420,330,270,330,420,432,360,288,360,360,360,360,360,216,360,360
ATS,7V1504-701,C029,B15,C10,3QS614,0,0,30,0,30,0,0,0,0,30,0,0,30,18,15,12,15,15,15,15,15,9,15,15
ATS,7V2524-701,C029,B15,C10,5QS588,340,425,520,60,180,360,400,300,340,300,280,340,400,444,370,296,370,370,370,370,370,222,370,370
ATS,7V2527-701,C029,B15,C10,5QS589,740,925,940,160,960,1140,1240,1180,1400,1140,900,1160,1400,1260,1050,840,1050,1050,1050,1050,1050,630,1050,1050
ATS,7V2520-701,C029,B15,C10,5QS590,1800,2250,2560,400,2140,2600,3260,2680,3180,2640,2100,2620,3120,3156,2630,2104,2630,2630,2630,2630,2630,1578,2630,2630
ATS,7V2537-701,C029,B15,C10,5QS595,60,75,80,20,120,60,40,40,40,60,20,40,60,24,20,16,20,20,20,20,20,12,20,20
ATS,7V2550-701,C029,B15,C10,5QS598,32,40,32,0,32,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2554-701,C029,B15,C10,5QS599,32,40,32,0,32,32,32,32,0,32,0,0,32,38,32,26,32,32,32,32,32,19,32,32
ATS,7V2557-701,C029,B15,C10,5QS597,64,80,128,32,64,32,64,32,64,0,64,32,64,58,48,38,48,48,48,48,48,29,48,48
ATS,7V2530-701,C029,B15,C10,5QS596,440,550,840,140,620,340,440,360,400,340,280,320,400,432,360,288,360,360,360,360,360,216,360,360
ATS,7V2534-701,C029,B15,C10,5QS594,20,25,20,0,20,0,20,20,0,20,0,20,20,12,10,8,10,10,10,10,10,6,10,10
ATS,7V2547-701,C029,B15,C10,5QS592,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
ATS,7V2540-701,C029,B15,C10,5QS593,100,125,200,20,160,40,40,20,60,20,40,60,40,36,30,24,30,30,30,30,30,18,30,30
ATS,7V2544-701,C029,B15,C10,5QS591,0,0,20,0,20,0,0,0,0,20,0,0,0,12,10,8,10,10,10,10,10,6,10,10
ATS,7M5324-701,C029,B15,C10,5QS521,352,440,512,64,192,352,416,320,320,320,288,320,384,461,384,307,384,384,384,384,384,230,384,384
ATS,7M5327-701,C029,B15,C10,5QS522,736,920,928,160,960,1152,1248,1152,1408,1152,896,1152,1408,1267,1056,845,1056,1056,1056,1056,1056,634,1056,1056
ATS,7M5320-701,C029,B15,C10,5QS523,1824,2280,2528,416,2144,2592,3264,2656,3200,2624,2112,2624,3104,3149,2624,2099,2624,2624,2624,2624,2624,1574,2624,2624
ATS,7M9144-701,C029,B15,C10,5QS576,336,420,518,70,182,350,406,308,336,294,294,336,378,445,371,297,371,371,371,371,371,223,371,371
