,Cell,Part,Cust,Cust #,Prog #,Prog,,Part1,Parent Cell,Parent Part,,1,2,3,4,5,6,7
F517M5300-707C029,F51,7M5300-707,ATS,C029,550B,HIGHLANDER,D12,7M530,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5304-707C029,F51,7M5304-707,ATS,C029,550B,HIGHLANDER,D12,7M530,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5307-707C029,F51,7M5307-707,ATS,C029,550B,HIGHLANDER,D12,7M530,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5290-707C033,F51,7M5290-707,TISA,C033,550B,HIGHLANDER,D12,7M529,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5294-707C033,F51,7M5294-707,TISA,C033,550B,HIGHLANDER,D12,7M529,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5297-707C033,F51,7M5297-707,TISA,C033,550B,HIGHLANDER,D12,7M529,,,,,87.47712142,93.33608809,91.71358809,,,
F517M5320-707C028,F51,7M5320-707,TMMI,C028,550B,HIGHLANDER,D12,7M532,,,,,115.3819214,114.0710881,118.2675881,,,
F517M5324-707C028,F51,7M5324-707,TMMI,C028,550B,HIGHLANDER,D12,7M532,,,,,115.3819214,114.0710881,118.2675881,,,
F517M5327-707C028,F51,7M5327-707,TMMI,C028,550B,HIGHLANDER,D12,7M532,,,,,115.3819214,114.0710881,118.2675881,,,
F517V2497-707C028,F51,7V2497-707,TMMI,C028,550B,HIGHLANDER,D12,7V249,,,,,115.3819214,114.0710881,118.2675881,,,
F517M5120-707C007,F51,7M5120-707,TMMK,C007,370B,AVALON,D12,7M512,,,,,70.97858809,75.51608809,87.20358809,,,
F517M5121-707C007,F51,7M5121-707,TMMK,C007,948B,AVALON,D12,7M512,,,,,70.97858809,75.51608809,87.20358809,,,
F517M5124-707C007,F51,7M5124-707,TMMK,C007,370B,AVALON,D12,7M512,,,,,70.97858809,75.51608809,87.20358809,,,
F517M5390-707C007,F51,7M5390-707,TMMK,C007,947B,LEXUS ES,D12,7M539,,,,,90.04525475,85.91108809,102.6035881,,,
